Home Points,Away Points,,Jitter Home Points,Jitter Away Points
121,115,,121,115
95,86,,95,86
98,90,,98,90
99,94,,99,94
91,74,,91,74
100,91,,100,91
78,74,,78,74
98,123,,98,123
102,111,,102,111
94,112,,94,112
110,116,,110,116
105,137,,105,137
93,111,,93,111
119,113,,119,113
104,110,,104,110
86,98,,86,98
98,109,,98,109
98,95,,98,95
101,98,,101,98
115,111,,115,111
104,109,,104,109
114,121,,114,121
106,116,,106,116
116,100,,116,100
117,107,,117,107
112,95,,112,95
96,95,,96,95
103,94,,103,94
97,99,,97,99
95,108,,95,108
88,103,,88,103
116,122,,116,122
96,102,,96,102
107,93,,107,93
98,95,,98,95
94,106,,94,106
104,103,,104,103
91,85,,91,85
119,128,,119,128
110,115,,110,115
81,84,,81,84
116,90,,116,90
104,111,,104,111
111,106,,111,106
105,100,,105,100
97,112,,97,112
110,95,,110,95
98,114,,98,114
92,107,,92,107
96,105,,96,105
93,112,,93,112
84,124,,84,124
96,88,,96,88
93,101,,93,101
122,95,,122,95
122,124,,122,124
102,92,,102,92
101,108,,101,108
131,116,,131,116
95,105,,95,105
96,100,,96,100
108,116,,108,116
95,100,,95,100
121,128,,121,128
103,96,,103,96
91,108,,91,108
98,92,,98,92
87,89,,87,89
100,120,,100,120
104,105,,104,105
103,89,,103,89
116,102,,116,102
117,110,,117,110
112,106,,112,106
122,106,,122,106
117,109,,117,109
94,114,,94,114
103,95,,103,95
115,112,,115,112
112,110,,112,110
103,95,,103,95
104,94,,104,94
102,91,,102,91
121,118,,121,118
98,96,,98,96
106,111,,106,111
89,101,,89,101
96,79,,96,79
104,112,,104,112
104,108,,104,108
98,103,,98,103
84,99,,84,99
105,112,,105,112
114,110,,114,110
102,106,,102,106
108,116,,108,116
98,89,,98,89
115,92,,115,92
111,106,,111,106
121,101,,121,101
118,111,,118,111
104,96,,104,96
105,102,,105,102
85,98,,85,98
103,129,,103,129
115,126,,115,126
111,115,,111,115
76,87,,76,87
116,130,,116,130
111,102,,111,102
101,114,,101,114
101,128,,101,128
98,81,,98,81
99,113,,99,113
100,93,,100,93
94,96,,94,96
101,96,,101,96
119,128,,119,128
95,121,,95,121
92,99,,92,99
86,105,,86,105
89,103,,89,103
95,106,,95,106
119,105,,119,105
96,78,,96,78
130,114,,130,114
107,112,,107,112
119,123,,119,123
116,106,,116,106
110,103,,110,103
105,111,,105,111
111,105,,111,105
99,96,,99,96
95,107,,95,107
115,119,,115,119
97,89,,97,89
102,115,,102,115
104,97,,104,97
104,112,,104,112
89,109,,89,109
124,115,,124,115
114,117,,114,117
114,110,,114,110
110,123,,110,123
111,112,,111,112
119,101,,119,101
111,108,,111,108
121,119,,121,119
103,116,,103,116
117,95,,117,95
114,110,,114,110
98,96,,98,96
103,92,,103,92
134,139,,134,139
109,90,,109,90
113,90,,113,90
111,120,,111,120
112,117,,112,117
96,100,,96,100
112,104,,112,104
87,81,,87,81
108,92,,108,92
103,114,,103,114
105,108,,105,108
118,112,,118,112
105,114,,105,114
91,111,,91,111
119,128,,119,128
104,109,,104,109
116,103,,116,103
107,102,,107,102
108,102,,108,102
124,86,,124,86
97,106,,97,106
95,102,,95,102
114,100,,114,100
134,121,,134,121
114,117,,114,117
93,90,,93,90
97,110,,97,110
81,85,,81,85
107,100,,107,100
94,101,,94,101
112,128,,112,128
89,95,,89,95
103,118,,103,118
102,98,,102,98
118,96,,118,96
99,96,,99,96
114,121,,114,121
93,114,,93,114
95,90,,95,90
109,103,,109,103
111,97,,111,97
91,105,,91,105
108,115,,108,115
111,116,,111,116
117,112,,117,112
130,112,,130,112
94,116,,94,116
120,128,,120,128
116,105,,116,105
132,129,,132,129
105,112,,105,112
90,101,,90,101
97,108,,97,108
109,112,,109,112
104,110,,104,110
106,77,,106,77
101,108,,101,108
112,102,,112,102
102,84,,102,84
104,105,,104,105
115,117,,115,117
101,116,,101,116
88,94,,88,94
83,108,,83,108
121,120,,121,120
104,107,,104,107
85,94,,85,94
107,125,,107,125
107,96,,107,96
109,107,,109,107
119,124,,119,124
81,124,,81,124
81,130,,81,130
94,128,,94,128
103,97,,103,97
91,124,,91,124
75,91,,75,91
88,91,,88,91
91,92,,91,92
96,107,,96,107
109,104,,109,104
102,109,,102,109
117,102,,117,102
93,105,,93,105
90,114,,90,114
99,110,,99,110
119,100,,119,100
102,100,,102,100
91,99,,91,99
116,121,,116,121
101,87,,101,87
97,88,,97,88
75,123,,75,123
113,119,,113,119
106,103,,106,103
103,108,,103,108
91,99,,91,99
90,100,,90,100
112,115,,112,115
109,90,,109,90
84,121,,84,121
116,123,,116,123
112,105,,112,105
125,111,,125,111
109,125,,109,125
104,112,,104,112
83,95,,83,95
92,103,,92,103
85,93,,85,93
100,116,,100,116
101,93,,101,93
103,115,,103,115
89,99,,89,99
115,111,,115,111
101,122,,101,122
97,109,,97,109
102,113,,102,113
85,92,,85,92
79,87,,79,87
102,99,,102,99
105,108,,105,108
110,120,,110,120
89,111,,89,111
115,91,,115,91
112,95,,112,95
107,93,,107,93
92,111,,92,111
93,84,,93,84
115,91,,115,91
107,97,,107,97
103,120,,103,120
89,102,,89,102
100,99,,100,99
106,94,,106,94
118,132,,118,132
100,108,,100,108
94,104,,94,104
114,90,,114,90
75,104,,75,104
108,99,,108,99
109,100,,109,100
90,87,,90,87
120,105,,120,105
105,109,,105,109
94,85,,94,85
88,80,,88,80
120,132,,120,132
100,105,,100,105
90,105,,90,105
111,133,,111,133
101,104,,101,104
105,117,,105,117
101,88,,101,88
95,112,,95,112
104,96,,104,96
114,116,,114,116
98,103,,98,103
103,123,,103,123
109,100,,109,100
113,107,,113,107
120,108,,120,108
96,104,,96,104
101,109,,101,109
98,116,,98,116
101,94,,101,94
99,94,,99,94
109,106,,109,106
102,118,,102,118
98,116,,98,116
86,96,,86,96
110,118,,110,118
69,103,,69,103
94,96,,94,96
84,92,,84,92
94,106,,94,106
95,104,,95,104
91,113,,91,113
106,121,,106,121
92,108,,92,108
94,86,,94,86
104,101,,104,101
109,116,,109,116
87,107,,87,107
103,100,,103,100
114,94,,114,94
95,101,,95,101
117,119,,117,119
105,109,,105,109
101,107,,101,107
92,126,,92,126
111,129,,111,129
104,85,,104,85
108,121,,108,121
106,98,,106,98
98,103,,98,103
110,116,,110,116
114,131,,114,131
107,89,,107,89
87,108,,87,108
100,107,,100,107
105,100,,105,100
107,111,,107,111
113,99,,113,99
94,102,,94,102
105,139,,105,139
100,85,,100,85
98,96,,98,96
82,88,,82,88
106,100,,106,100
109,116,,109,116
98,107,,98,107
99,104,,99,104
116,91,,116,91
91,84,,91,84
94,110,,94,110
123,108,,123,108
85,121,,85,121
96,117,,96,117
98,99,,98,99
130,109,,130,109
99,107,,99,107
118,114,,118,114
114,108,,114,108
122,106,,122,106
98,103,,98,103
119,99,,119,99
89,102,,89,102
93,116,,93,116
94,104,,94,104
81,97,,81,97
104,99,,104,99
95,100,,95,100
98,104,,98,104
104,98,,104,98
107,117,,107,117
103,109,,103,109
107,119,,107,119
98,114,,98,114
122,101,,122,101
104,113,,104,113
102,118,,102,118
79,91,,79,91
115,107,,115,107
104,113,,104,113
89,87,,89,87
88,112,,88,112
103,104,,103,104
111,120,,111,120
100,102,,100,102
97,105,,97,105
109,105,,109,105
99,79,,99,79
94,105,,94,105
92,100,,92,100
89,91,,89,91
103,96,,103,96
120,111,,120,111
94,115,,94,115
118,104,,118,104
96,116,,96,116
113,122,,113,122
108,114,,108,114
102,96,,102,96
128,97,,128,97
108,120,,108,120
112,106,,112,106
109,106,,109,106
106,99,,106,99
91,100,,91,100
91,105,,91,105
98,89,,98,89
110,108,,110,108
110,113,,110,113
99,95,,99,95
85,98,,85,98
101,91,,101,91
103,111,,103,111
96,87,,96,87
103,106,,103,106
83,101,,83,101
97,90,,97,90
99,113,,99,113
109,112,,109,112
109,102,,109,102
98,111,,98,111
109,124,,109,124
99,112,,99,112
102,110,,102,110
93,103,,93,103
102,99,,102,99
98,102,,98,102
105,101,,105,101
94,109,,94,109
98,107,,98,107
114,100,,114,100
120,111,,120,111
121,116,,121,116
129,105,,129,105
79,112,,79,112
101,92,,101,92
106,115,,106,115
87,98,,87,98
85,84,,85,84
84,98,,84,98
85,89,,85,89
104,118,,104,118
NA,NA,,#VALUE!,#VALUE!
78,104,,78,104
101,102,,101,102
70,108,,70,108
100,90,,100,90
93,110,,93,110
115,102,,115,102
94,90,,94,90
95,102,,95,102
115,106,,115,106
88,96,,88,96
119,108,,119,108
83,100,,83,100
80,96,,80,96
92,124,,92,124
106,105,,106,105
112,114,,112,114
121,100,,121,100
107,118,,107,118
100,99,,100,99
102,105,,102,105
98,113,,98,113
91,98,,91,98
110,130,,110,130
109,108,,109,108
100,84,,100,84
105,129,,105,129
96,118,,96,118
92,86,,92,86
93,89,,93,89
95,115,,95,115
74,106,,74,106
101,106,,101,106
91,123,,91,123
121,94,,121,94
95,104,,95,104
100,98,,100,98
116,95,,116,95
103,112,,103,112
88,78,,88,78
110,118,,110,118
109,114,,109,114
107,119,,107,119
101,86,,101,86
102,98,,102,98
92,87,,92,87
111,136,,111,136
107,100,,107,100
106,87,,106,87
131,102,,131,102
101,85,,101,85
96,97,,96,97
104,92,,104,92
105,97,,105,97
101,112,,101,112
98,106,,98,106
124,115,,124,115
87,95,,87,95
84,110,,84,110
90,102,,90,102
99,93,,99,93
98,122,,98,122
98,102,,98,102
72,89,,72,89
68,94,,68,94
99,102,,99,102
83,110,,83,110
115,107,,115,107
81,103,,81,103
124,117,,124,117
93,107,,93,107
90,96,,90,96
92,108,,92,108
109,80,,109,80
89,107,,89,107
90,103,,90,103
124,102,,124,102
88,86,,88,86
99,107,,99,107
105,114,,105,114
104,125,,104,125
96,101,,96,101
98,109,,98,109
112,110,,112,110
97,92,,97,92
88,98,,88,98
109,144,,109,144
103,117,,103,117
105,115,,105,115
81,116,,81,116
96,91,,96,91
103,96,,103,96
81,102,,81,102
103,115,,103,115
90,107,,90,107
108,98,,108,98
81,114,,81,114
90,88,,90,88
115,120,,115,120
91,81,,91,81
103,121,,103,121
109,123,,109,123
108,104,,108,104
111,97,,111,97
97,104,,97,104
86,88,,86,88
91,103,,91,103
113,87,,113,87
121,108,,121,108
100,96,,100,96
108,102,,108,102
93,104,,93,104
98,97,,98,97
99,105,,99,105
88,96,,88,96
132,125,,132,125
87,94,,87,94
84,99,,84,99
108,101,,108,101
95,91,,95,91
108,120,,108,120
106,118,,106,118
84,89,,84,89
73,106,,73,106
89,116,,89,116
105,133,,105,133
100,99,,100,99
97,111,,97,111
99,113,,99,113
89,108,,89,108
111,120,,111,120
92,96,,92,96
95,91,,95,91
84,115,,84,115
94,118,,94,118
99,110,,99,110
102,96,,102,96
121,125,,121,125
91,99,,91,99
91,118,,91,118
78,116,,78,116
98,123,,98,123
108,97,,108,97
112,97,,112,97
93,89,,93,89
77,110,,77,110
101,115,,101,115
89,104,,89,104
90,120,,90,120
